Timestamp,Time,Flight Mode,System Status,Roll (deg),Pitch (deg),Yaw (deg),Depth (m),Heading (deg),Voltage (V),Current (A),X (m),Y (m),Z (m)
1784797584.070314,2026-07-23 16:06:24,MANUAL,ACTIVE,0.0,0.0,0.0,0.0,0.0,16.8,0.0,0.0,0.0,0.0
1784797585.0828116,2026-07-23 16:06:25,MANUAL,ACTIVE,0.0,0.0,0.0,0.0,0.0,16.8,0.0,0.0,0.0,0.0
1784797586.1012158,2026-07-23 16:06:26,MANUAL,ACTIVE,0.0,0.0,0.0,0.0,0.0,16.8,0.0,0.0,0.0,0.0
1784797587.1030204,2026-07-23 16:06:27,MANUAL,ACTIVE,0.0,0.0,0.0,0.0,0.0,16.8,0.0,0.0,0.0,0.0
1784797588.107564,2026-07-23 16:06:28,MANUAL,ACTIVE,0.0,0.0,0.0,0.0,0.0,16.8,0.0,0.0,0.0,0.0
1784797589.1163254,2026-07-23 16:06:29,MANUAL,ACTIVE,0.0,0.0,0.0,0.0,0.0,16.8,0.0,0.0,0.0,0.0
1784797590.1500297,2026-07-23 16:06:30,MANUAL,ACTIVE,0.0,0.0,0.0,0.0,0.0,16.8,0.0,0.0,0.0,0.0
1784797591.1601863,2026-07-23 16:06:31,MANUAL,ACTIVE,0.0,0.0,0.0,0.0,0.0,16.8,0.0,0.0,0.0,0.0
1784797592.1603322,2026-07-23 16:06:32,MANUAL,ACTIVE,0.0,0.0,0.0,0.0,0.0,16.8,0.0,0.0,0.0,0.0
1784797593.1811013,2026-07-23 16:06:33,MANUAL,ACTIVE,0.0,0.0,0.0,0.0,0.0,16.8,0.0,0.0,0.0,0.0
1784797594.1837528,2026-07-23 16:06:34,MANUAL,ACTIVE,0.0,0.0,0.0,0.0,0.0,16.8,0.0,0.0,0.0,0.0
1784797595.1880474,2026-07-23 16:06:35,MANUAL,ACTIVE,0.0,0.0,0.0,0.0,0.0,16.8,0.0,0.0,0.0,0.0
1784797596.2269683,2026-07-23 16:06:36,MANUAL,ACTIVE,0.0,0.0,0.0,0.0,0.0,16.8,0.0,0.0,0.0,0.0
1784797597.2344003,2026-07-23 16:06:37,MANUAL,ACTIVE,0.0,0.0,0.0,0.0,0.0,16.8,0.0,0.0,0.0,0.0
1784797598.2464519,2026-07-23 16:06:38,MANUAL,ACTIVE,0.0,0.0,0.0,0.0,0.0,16.8,0.0,0.0,0.0,0.0
1784797599.2540853,2026-07-23 16:06:39,MANUAL,ACTIVE,0.0,0.0,0.0,0.0,0.0,16.8,0.0,0.0,0.0,0.0
1784797600.2622342,2026-07-23 16:06:40,MANUAL,ACTIVE,0.0,0.0,0.0,0.0,0.0,16.8,0.0,0.0,0.0,0.0
1784797601.2971125,2026-07-23 16:06:41,MANUAL,ACTIVE,0.0,0.0,0.0,0.0,0.0,16.8,0.0,0.0,0.0,0.0
1784797602.3001494,2026-07-23 16:06:42,MANUAL,ACTIVE,0.0,0.0,0.0,0.0,0.0,16.8,0.0,0.0,0.0,0.0
1784797603.31735,2026-07-23 16:06:43,MANUAL,ACTIVE,0.0,0.0,0.0,0.0,0.0,16.8,0.0,0.0,0.0,0.0
1784797604.3237214,2026-07-23 16:06:44,MANUAL,ACTIVE,0.0,0.0,0.0,0.0,0.0,16.8,0.0,0.0,0.0,0.0
1784797605.3402889,2026-07-23 16:06:45,MANUAL,ACTIVE,0.0,0.0,0.0,0.0,0.0,16.8,0.0,0.0,0.0,0.0
1784797606.346533,2026-07-23 16:06:46,MANUAL,ACTIVE,0.0,0.0,0.0,0.0,0.0,16.8,0.0,0.0,0.0,0.0
1784797607.376679,2026-07-23 16:06:47,MANUAL,ACTIVE,0.0,0.0,0.0,0.0,0.0,16.8,0.0,0.0,0.0,0.0
1784797608.3997228,2026-07-23 16:06:48,MANUAL,ACTIVE,0.0,0.0,0.0,0.0,0.0,16.8,0.0,0.0,0.0,0.0
1784797609.412135,2026-07-23 16:06:49,MANUAL,ACTIVE,0.0,0.0,0.0,0.0,0.0,16.8,0.0,0.0,0.0,0.0
1784797610.4602249,2026-07-23 16:06:50,MANUAL,ACTIVE,0.0,0.0,0.0,0.0,0.0,16.8,0.0,0.0,0.0,0.0
1784797611.465933,2026-07-23 16:06:51,MANUAL,ACTIVE,0.0,0.0,0.0,0.0,0.0,16.8,0.0,0.0,0.0,0.0
1784797612.4814973,2026-07-23 16:06:52,MANUAL,ACTIVE,0.0,0.0,0.0,0.0,0.0,16.8,0.0,0.0,0.0,0.0
1784797613.5227432,2026-07-23 16:06:53,MANUAL,ACTIVE,0.0,0.0,0.0,0.0,0.0,16.8,0.0,0.0,0.0,0.0
1784797614.532442,2026-07-23 16:06:54,MANUAL,ACTIVE,0.0,0.0,0.0,0.0,0.0,16.8,0.0,0.0,0.0,0.0
1784797615.5357535,2026-07-23 16:06:55,MANUAL,ACTIVE,0.0,0.0,0.0,0.0,0.0,16.8,0.0,0.0,0.0,0.0
1784797616.5454276,2026-07-23 16:06:56,MANUAL,ACTIVE,0.0,0.0,0.0,0.0,0.0,16.8,0.0,0.0,0.0,0.0
1784797617.5615518,2026-07-23 16:06:57,MANUAL,ACTIVE,0.0,0.0,0.0,0.0,0.0,16.8,0.0,0.0,0.0,0.0
1784797618.5647202,2026-07-23 16:06:58,MANUAL,ACTIVE,0.0,0.0,0.0,0.0,0.0,16.8,0.0,0.0,0.0,0.0
1784797619.6058092,2026-07-23 16:06:59,MANUAL,ACTIVE,0.0,0.0,0.0,0.0,0.0,16.8,0.0,0.0,0.0,0.0
1784797620.628036,2026-07-23 16:07:00,MANUAL,ACTIVE,0.0,0.0,0.0,0.0,0.0,16.8,0.0,0.0,0.0,0.0
1784797621.6842008,2026-07-23 16:07:01,MANUAL,ACTIVE,0.0,0.0,0.0,0.0,0.0,16.8,0.0,0.0,0.0,0.0
1784797622.701726,2026-07-23 16:07:02,MANUAL,ACTIVE,0.0,0.0,0.0,0.0,0.0,16.8,0.0,0.0,0.0,0.0
1784797623.7031195,2026-07-23 16:07:03,MANUAL,ACTIVE,0.0,0.0,0.0,0.0,0.0,16.8,0.0,0.0,0.0,0.0
1784797624.717693,2026-07-23 16:07:04,MANUAL,ACTIVE,0.0,0.0,0.0,0.0,0.0,16.8,0.0,0.0,0.0,0.0
